kw,ts,particles
0,2019-01-01 00:00:00,null
1,2019-01-07 00:00:00,6.00
2,2019-01-14 00:00:00,3.70
3,2019-01-21 00:00:00,3.60
4,2019-01-28 00:00:00,4.60
5,2019-02-04 00:00:00,5.15
6,2019-02-11 00:00:00,5.50
7,2019-02-18 00:00:00,6.70
8,2019-02-25 00:00:00,4.90
9,2019-03-04 00:00:00,4.90
10,2019-03-11 00:00:00,5.20
11,2019-03-18 00:00:00,5.00
12,2019-03-25 00:00:00,4.90
13,2019-04-01 00:00:00,4.50
14,2019-04-08 00:00:00,5.30
15,2019-04-15 00:00:00,5.00
16,2019-04-22 00:00:00,4.30
17,2019-04-29 00:00:00,null
18,2019-05-06 00:00:00,4.50
19,2019-05-13 00:00:00,4.40
20,2019-05-20 00:00:00,4.30
21,2019-05-27 00:00:00,5.00
22,2019-06-03 00:00:00,null
23,2019-06-10 00:00:00,4.10
24,2019-06-17 00:00:00,4.80
25,2019-06-24 00:00:00,4.00
26,2019-07-01 00:00:00,4.20
27,2019-07-08 00:00:00,3.80
28,2019-07-15 00:00:00,2.90
29,2019-07-22 00:00:00,null
30,2019-07-29 00:00:00,4.20
31,2019-08-05 00:00:00,2.90
32,2019-08-12 00:00:00,3.00
33,2019-08-19 00:00:00,3.10
34,2019-08-26 00:00:00,3.60
35,2019-09-02 00:00:00,2.70
36,2019-09-09 00:00:00,2.20
37,2019-09-16 00:00:00,2.70
38,2019-09-23 00:00:00,2.40
39,2019-09-30 00:00:00,1.70
40,2019-10-07 00:00:00,3.30
41,2019-10-14 00:00:00,null
42,2019-10-21 00:00:00,2.70
43,2019-10-28 00:00:00,3.20
44,2019-11-04 00:00:00,null
45,2019-11-11 00:00:00,3.50
46,2019-11-18 00:00:00,3.20
47,2019-11-25 00:00:00,4.50
48,2019-12-02 00:00:00,3.88
49,2019-12-09 00:00:00,null
50,2019-12-16 00:00:00,3.75
51,2019-12-23 00:00:00,null
52,2019-12-30 00:00:00,null
53,2020-01-06 00:00:00,null
